  No.	Character   	Type     	Level     	Required for  	Keyword                   	A.K.A.                                            	Requires
    1	一          	character	Elementary	Elementary    	one                       	'floor', 'ceiling'                              	
    2	二          	character	Elementary	Elementary    	two                       	                                                	'one'
    3	三          	character	Elementary	Elementary    	three                     	                                                	'one', 'two'
    4	四          	character	Elementary	Elementary    	four                      	                                                	'mouth', 'human legs'
    5	五          	character	Elementary	Elementary    	five                      	                                                	
    6	六          	character	Elementary	Elementary    	six                       	                                                	'top hat', 'animal legs'
    7	七          	character	Elementary	Elementary    	seven                     	'diced'                                         	
    8	八          	character	Elementary	Elementary    	eight                     	                                                	
    9	九          	character	Elementary	Elementary    	nine                      	'baseball', 'baseball team'                     	
   10	十          	character	Elementary	Elementary    	ten                       	'needle'                                        	
   11	口          	character	Elementary	Elementary    	mouth                     	                                                	
   12	日          	character	Elementary	Elementary    	day                       	'sun', 'tongue wagging in the mouth'            	
   13	月          	character	Elementary	Elementary    	month                     	'moon', 'flesh', 'part of the body'             	
   14	田          	character	Medium    	Elementary (1)	rice field                	'brains'                                        	
   15	目          	character	Medium    	Elementary (1)	eye                       	'eyeball', 'net'                                	
   16	古          	character	Medium    	Elementary (2)	ancient                   	                                                	'ten', 'mouth'
   17	胡          	character	Advanced  	              	recklessly                	                                                	'moon', 'ancient'
   18	叶          	character	Advanced  	              	leaf                      	                                                	'ten', 'mouth'
   19	吾          	character	          	Elementary (1)	I (literary)              	                                                	'five', 'mouth'
   20	朋          	character	Elementary	Elementary    	companion                 	                                                	'flesh'
   21	明          	character	Elementary	Elementary    	bright                    	                                                	'sun', 'moon'
   22	唱          	character	Elementary	Elementary    	sing                      	                                                	'mouth', 'tongue wagging in the mouth'
   23	晶          	character	          	              	sparkling                 	                                                	'sun'
   24	品          	character	Advanced  	              	goods                     	                                                	'sparkling', 'mouth'
   25	昌          	character	Advanced  	              	prosperous                	                                                	'sun', 'sparkling'
   26	早          	character	Elementary	Elementary    	early                     	'sunflower'                                     	'sun', 'needle'
   27	旭          	character	          	              	rising sun                	                                                	'sun', 'baseball'
   28	世          	character	Advanced  	              	generation                	                                                	'ten'
